x,x,da4m,dl5,vm3,dl1,dc1,dm2,da3,dm3,vc3,da4l,vm2,dm3,va1v,va5,dm4,dl3,dm6,vc4,va6,dm5,vm5d,dl4,va1d,vm5v
class,odorant,2a,7a,9a,10a,19a,22a,23a,33b,35a,43a,43b,47a,47b,49b,59b,65a,67a,67c,82a,85a,85b,85f,88a,98a
10,hexyl hexanoate,1,-4,-3,-1,-25,31,-4,1,126,-14,-1,-1,4,-1,7,-2,-3,-4,-3,5,17,9,3,5
10,methyl octanoate,1,-7,4,-13,0,237,-3,3,10,-13,4,58,-26,4,-8,22,-7,2,16,-12,62,1,-8,23
10,ethyl octanoate,1,-7,2,-14,-8,95,-4,-4,-12,-12,3,18,-7,-6,-2,7,-10,1,5,-8,39,1,-5,22
10,ethyl decanoate,5,-12,2,43,-17,6,-1,1,-10,-8,7,-3,-3,-2,3,-4,-7,-3,-4,-20,28,-2,-5,12
10,ethyl trans-2-butenoate,11,-2,103,146,9,210,9,-4,14,-22,191,44,-33,3,-7,2,104,34,16,91,80,24,-9,243
10,ethyl lactate,39,31,75,31,24,70,11,2,5,7,93,29,-28,34,133,31,39,288,42,39,77,77,-7,66
10,diethyl succinate,16,-11,21,-13,24,205,26,-8,-20,-8,4,36,-16,-3,-9,5,175,7,32,-12,35,12,5,4
11,ethyl acetate -2,-3,6,37,6,7,53,2,10,18,8,132,86,-7,15,177,0,43,29,17,65,18,12,5,23
11,pentyl acetate -2,35,-4,85,-1,130,158,20,-12,191,12,89,241,-24,8,65,34,216,17,21,30,190,35,9,191
11,ethyl butyrate -2,12,1,121,29,73,193,15,37,121,22,199,74,-16,-3,39,-8,167,112,27,125,102,26,-9,81
11,methyl salicylate -2,5,-6,13,258,1,-2,-1,-7,2,20,12,-6,6,48,-4,-13,35,-2,-5,2,-8,5,-7,8
11,1-hexanol -2,40,96,102,10,146,63,51,1,237,133,73,58,-35,31,35,7,173,109,58,137,183,64,16,158
11,1-octen-3-ol -2,27,9,54,-6,149,121,19,-17,141,100,44,90,-30,15,15,16,164,24,34,40,180,31,-16,197
11,E2-hexenal -2,17,221,38,-8,58,49,45,-8,227,41,84,37,18,6,3,-2,117,47,-6,11,145,35,-8,28
11,2 3-butanedione -2,3,13,60,22,35,48,15,11,13,11,69,25,7,6,97,8,84,42,20,40,71,14,11,34
11,2-heptanone -2,39,-2,106,17,131,111,25,0,119,42,71,209,-10,21,25,35,170,36,32,33,190,40,19,189
11,geranyl acetate -2,2,1,-5,-8,9,1,4,0,-3,-10,10,-2,-1,-4,37,-7,7,-3,241,-1,-2,-2,1,81
11,ethyl acetate -4,-4,10,19,9,-6,18,-5,15,-3,-9,11,18,-13,-4,55,-1,-6,1,12,6,14,12,-4,0
11,pentyl acetate -4,5,3,10,-6,-4,109,2,-14,47,-4,25,220,-11,1,3,8,74,-4,-3,-1,150,15,0,41
11,ethyl butyrate -4,-4,2,14,-1,-6,152,-5,14,-2,-2,56,17,-9,1,0,-1,30,6,10,42,12,1,0,3
11,methyl salicylate -4,-5,-6,-1,220,-2,7,-2,-3,9,-5,2,3,-4,1,0,-3,-3,-1,3,6,0,-4,-3,-1
11,1-hexanol -4,1,5,6,-5,-6,15,0,-3,264,-4,18,12,-4,-2,2,-1,8,3,6,15,105,1,-5,17
